&oelig;uvre-	ph:õvr	ph:oeuvre
&oelig;uvre-rel	ph:õvrrel	ph:oeuvrerel
&oelig;uvre-ré	ph:õvrré	ph:oeuvreré
&oelig;uvre	ph:õvr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
kompkikötõ	hy:4
komplexbrigád	hy:7
komplexkémia	hy:7
komposztálóanyag	hy:11
komámasszony	hy:5
kondorkeselyû	hy:6
konfliktusközel	hy:10
kontrabasszus	hy:6
kontrasztkiemelés	hy:9
kontymagasító	hy:5
kontytetõ	hy:5
kontyvirág	hy:5
kontármunka	hy:6
konyak	ph:cognac
konyakospoharak	hy:8
konyakospohár	hy:8
konyakosüveg	hy:8
konyhaedény	hy:6
konyhakert	hy:6
konyhakredenc	hy:6
konyharuha	hy:6
konyhasó	hy:6
konzervdoboz	hy:7
konzervgyár	hy:7
konzervgyárak	hy:7
konzervkészítés	hy:7
konzervnyitó	hy:7
konzumidióta	hy:6
konzumnõ	hy:6
konzumtársadalom	hy:6
koponyacsont	hy:7
koponyadudor	hy:7
koponyalékelés	hy:7
koponyalékelõ	hy:7
koponyatetõ	hy:7
kopásgödrök	hy:5
kopásgödör	hy:5
korallsziget	hy:6
korallzátony	hy:6
koraszülés	hy:4
koraszülött	hy:4
koraérés	hy:4
korbácsütés	hy:7
kordbársony	hy:4
kormeghatározás	hy:3
kormányfõ	hy:7
kormánykerekek	hy:7
kormánykerék	hy:7
kormányközel	hy:7
kormánymû	hy:7
kormánymûvek	hy:7
kormánypálca	hy:7
kormányrudak	hy:7
kormányrúd	hy:7
kormányszerkezet	hy:7
kormánytanács	hy:7
kormányvitorla	hy:7
koromfolt	hy:5
koromszem	hy:5
koronagyarmat	hy:6
korpafû	hy:5
korpafüvek	hy:5
korrektor	hy:3
korreláció	hy:3
korszak	hy:3
kortárs	hy:
korév	hy:3
kosbor	hy:3
koszorúerek	hy:7
koszorúsleány	hy:8
koszorúér	hy:7
kosztümfelsõ	hy:7
kosárfonat	hy:5
kosárfonás	hy:5
kosárfonó	hy:5
kosárka	hy:3
kosárlabda	hy:5
kosárív	hy:5
kotrógép	hy:5
kotróháló	hy:5
kotróvas	hy:5
kotróvasak	hy:5
kovakõ	hy:4
kovakövek	hy:4
kovácsoltvas	hy:9
kovácsoltvasak	hy:9
kozákdárda	hy:5
kozákkapitány	hy:5
kozáklovak	hy:5
kozákló	hy:5
kozáktiszt	hy:5
krakkolókatalizátor	hy:8
kristálydióda	hy:8
kristályszóda	hy:8
krosszverseny	hy:6
krumpliskenyerek	hy:8
krumpliskenyér	hy:8
krétavonal	hy:5
krétavonalak	hy:5
kubikgödrök	hy:5
kubikgödör	hy:5
kucsmagomba	hy:6
kukoricacsõ	hy:8
kukoricacsövek	hy:8
kukoricafosztás	hy:8
kukoricahaj	hy:8
kukoricahajak	hy:8
kukoricahéj	hy:8
kukoricahéjak	hy:8
kukoricakeményítõ	hy:8
kukoricalevelek	hy:8
kukoricalevél	hy:8
kukoricaliszt	hy:8
kukoricamálé	hy:8
kukoricapehely	hy:8
kukoricapelyhek	hy:8
kukoricatorzsa	hy:8
kukoricatábla	hy:8
kukásautó	hy:5
kulcscsont	hy:5
kulcskarika	hy:5
kulcslyuk	hy:5
kulcslyukak	hy:5
kulcsosház	hy:7
kulcsosházak	hy:7
kulcstábla	hy:5
kultúrautó	hy:7
kumuluszfelhõ	hy:8
kupadöntõ	hy:4
kupamérkõzés	hy:4
kupaszerda	hy:4
kurtanemes	hy:5
kurtavas	hy:5
kurtavasak	hy:5
kurucság	hy:ku-ruc-ság
kurvaház	hy:5
kurvaházak	hy:5
kutatnivaló	hy:7
kutatás-fejlesztési	ph:kutatásfejlesztési
kutatómunka	hy:6
kutatónõ	hy:6
kutatóterem	hy:6
kutatótermek	hy:6
kutatótornyok	hy:6
kutatótorony	hy:6
kutyabõr	hy:5
kutyafaj	hy:5
kutyafalka	hy:5
kutyanyelv	hy:5
kutyapecér	hy:5
kutyaszorító	hy:5
kutyaszán	hy:5
kutyatej	hy:5
kutyaól	hy:5
kutyaólak	hy:5
kvarckavics	hy:5
kvarclámpa	hy:5
kvintesszencia	hy:5
kábelakna	hy:5
kábellerakás	hy:5
kábszer	hy:3
kábítószer	hy:6
kádármunka	hy:5
kákabelek	hy:4
kákabél	hy:4
kálilúg	hy:4
káliszappan	hy:4
káliüveg	hy:4
kályhaellenzõ	hy:6
kályhaszelelõ	hy:6
kályhásmester	hy:7
kányabangita	hy:5
kányafa	hy:5
kányafû	hy:5
kányafüvek	hy:5
káposztasaláta	hy:8
káposztáshordó	hy:9
káposztáskert	hy:9
káreloszlás	hy:3
kárminsav	hy:6
kárminsavak	hy:6
kárpitosmunka	hy:8
kárpitszövet	hy:6
kárpótlás	hy:3
kártológép	hy:7
kártyabarlang	hy:6
kártyacsomag	hy:6
kártyaemelés	hy:6
kártyajáték	hy:6
kártyakeverés	hy:6
kártyakiosztás	hy:6
kártyaleolvasó	hy:6
kártyaosztás	hy:6
kártyapénz	hy:6
kártyaszín	hy:6
kártyatalon	hy:6
kártyatrükk	hy:6
kártyavetés	hy:6
kártérítés	hy:3
kávéalj	hy:4
kávéaljak	hy:4
kávéfõzõ	hy:4
kávéház	hy:4
kávéházak	hy:4
kávésbögre	hy:5
kávéskanalak	hy:5
kávéskanna	hy:5
kávéskanál	hy:5
kávéskészlet	hy:5
kéjnõ	hy:3
kéjérzet	hy:3
kékbegy	hy:3
kékcinege	hy:3
kékcinke	hy:3
kékesszürke	hy:ké-kes|szür-ke
kékesszürkés	hy:ké-kes|szür-kés
kékeszöld	hy:ké-kes|zöld
kékeszöldes	hy:ké-kes|zöl-des
kékfestés	hy:3
kékfestõ	hy:3
kékharisnya	hy:3
kékliliom	hy:3
kékoportó	hy:3
kékparadicsom	hy:3
kékróka	hy:3
kéksajt	hy:3
kéksav	hy:3
kéksavak	hy:3
kékszakáll	hy:3
kékszakállak	hy:3
kékszám	hy:3
kéktúra	hy:3
kékvércse	hy:3
kémcsõ	hy:3
kémcsövek	hy:3
kémelhárítás	hy:kém||el|hárítás
kémlelõ	hy:3
kémlelõeszköz	hy:7
kémlelõnyílás	hy:7
kémnõ	hy:3
kéményseprõ	hy:6
kéménysor	hy:6
kénessav	hy:5
kénessavak	hy:5
kénkõ	hy:3
kénkövek	hy:3
kénsav	hy:3
kénsavak	hy:3
kényszer	hy:4
képernyõ	hy:3
képeskönyv	hy:5
képességcsökkenés	hy:8
képfaragó	hy:3
képfelbontás	hy:3
képkiállítás	hy:3
képléc	hy:3
képmezõ	hy:3
képmutatás	hy:3
képmutató	hy:3
képmás	hy:3
képrejtvény	hy:3
képrombolás	hy:3
képszöveg	hy:3
képtár	hy:3
képtárak	hy:3
képtáviratozás	hy:3
képviselet	hy:3
képviselõ	hy:3
képviselõjelölt	hy:9
képviselõnõ	hy:9
képzelõtehetség	hy:7
képzõmûvészet	hy:5
képélesség	hy:3
képírás	hy:3
kérdeznivaló	hy:8
kérdõjel	hy:5
kérdõív	hy:5
kéreghántó	hy:5
kéregmozgás	hy:5
kérvénybenyújtás	hy:kérvény||be|nyújtás
kérõdzõgyomor	hy:7
késmûvesség	hy:3
késtartó	hy:3
késtisztító	hy:3
készenlét	hy:6
készfizetõ	hy:4
készgyártmány	hy:4
készkiadás	hy:4
készpénz	hy:4
készruha	hy:4
készétel	hy:4
késél	hy:3
kétnejûség	hy:3
kétpennys	hy:két|pen-nys
kétszersült	hy:7
kétszázschillinges	hy:z|s
kétszínnyomás	hy:két|szín||nyo-más
kétszínnyomó	hy:két|szín||nyo-mó
kétségbeejtés	hy:8
kétéltû	hy:3
kévekötõ	hy:4
kézbevétel	hy:5
kézbilincs	hy:3
kézbütykök	hy:3
kézbütyök	hy:3
kézelõgomb	hy:6
kézfej	hy:3
kézibalta	hy:4
kézibeszélõ	hy:4
kézibélyegzõ	hy:4
kézibõrönd	hy:4
kézicsomag	hy:4
kéziemelõ	hy:4
kézifecskendõ	hy:4
kézifegyver	hy:4
kézifék	hy:4
kézifûrész	hy:4
kézigránát	hy:4
kézihajtány	hy:4
kéziipar	hy:4
kézikalapács	hy:4
kézikapa	hy:4
kézikar	hy:4
kézikocsi	hy:4
kézikosarak	hy:4
kézikosár	hy:4
kézikönyv	hy:4
kézilabda	hy:4
kézilány	hy:4
kézimunka	hy:4
kézimérleg	hy:4
kézinyomda	hy:4
kézipéldány	hy:4
kézirat	hy:3
kézisajtó	hy:4
kéziszivattyú	hy:4
kézitáska	hy:4
kézitükrök	hy:4
kézitükör	hy:4
kézizálog	hy:4
kézjegy	hy:3
kézközel	hy:3
kézközepek	hy:3
kézközép	hy:3
kézmozdulat	hy:3
kézmûves	hy:3
kézmûvesség	hy:3
kézszorítás	hy:kéz|szo-rí-tás
kéztámasz	hy:3
kézíj	hy:3
kézíjak	hy:3
kézírás	hy:3
kézöblítés	hy:3
kézöblítõ	hy:3
kézügyesség	hy:3
kígyófû	hy:5
kígyófüvek	hy:5
kígyómarás	hy:5
kílbót	ph:keelboat	ph:kielboat
kínszenvedés	hy:3
kínvallatás	hy:3
kísértethistória	hy:8
kóboráram	hy:5
kócsagforgó	hy:6
kócsagtanya	hy:6
kócsagtoll	hy:6
kócsagtollak	hy:6
kókuszdió	hy:6
kókuszrost	hy:6
kóla	ph:cola
kóladió	hy:4
kólásüveg	hy:5
kórboncnok	hy:3
kórelõzés	hy:3
kórház	hy:3
kórházak	hy:3
kórmeghatározás	hy:3
kórokozó	hy:3
kórtan	hy:3
kórterem	hy:3
kórtermek	hy:3
kórusmû	hy:5
kórusmûvek	hy:5
kõbalta	hy:2
kõburkolat	hy:2
kõbánya	hy:2
kõdarab	hy:2
kõedény	hy:2
kõerek	hy:2
kõeszköz	hy:2
kõfal	hy:2
kõfalak	hy:2
kõfaragó	hy:2
kõfej	hy:2
kõfejtõ	hy:2
kõgát	hy:2
kõgátak	hy:2
kõhajítás	hy:2
kõhal	hy:2
kõhalak	hy:2
kõhalmok	hy:2
kõhalom	hy:2
kõhidak	hy:2
kõház	hy:2
kõházak	hy:2
kõhíd	hy:2
kõkapcsok	hy:2
kõkapocs	hy:2
kõkapu	hy:2
kõkereszt	hy:2
kõkeret	hy:2
kõkerítés	hy:2
kõkocka	hy:2
kõkor	hy:2
kõkutak	hy:2
kõképzõdés	hy:2
kõkés	hy:2
kõkör	hy:2
kõkút	hy:2
kõlap	hy:2
kõmetszés	hy:2
kõmûves	hy:2
kõnyomat	hy:2
kõolaj	hy:2
kõolajak	hy:2
kõpad	hy:2
kõpor	hy:2
kõrisbogarak	hy:5
kõrisbogár	hy:5
kõrisfa	hy:5
kõszenek	hy:2
kõszikla	hy:2
kõszirt	hy:2
kõszobor	hy:2
kõszobrok	hy:2
kõszén	hy:2
kõsó	hy:2
kõtemplom	hy:2
kõtábla	hy:2
kõtár	hy:2
kõtárak	hy:2
kõtömb	hy:2
kõtörmelék	hy:2
kõutak	hy:2
kõvár	hy:2
kõvárak	hy:2
kõzetrés	hy:5
kõzetréteg	hy:5
kõzettan	hy:5
kõzápor	hy:2
kõépület	hy:2
kõér	hy:2
kõút	hy:2
köblök	hy:3
köbméter	hy:3
köbtartalmak	hy:3
köbtartalom	hy:3
köböl	hy:3
ködalak	hy:3
ködfolt	hy:3
kökénybokor	hy:6
kökénybokrok	hy:6
kölcsönadás	hy:7
kölnisüveg	hy:6
kölnivizek	hy:5
kölnivíz	hy:5
költség-haszon	ph:költséghasz->költség-hasz
költségvetés	hy:7
költségviselés	hy:7
költõnõ	hy:5
kölyökkutya	hy:6
köménymag	hy:6
könnycsepp	hy:5
könnyfakasztó	hy:5
könnygáz	hy:5
könnyvezeték	hy:5
könnyzacskó	hy:5
könnyár	hy:5
könnyárak	hy:5
könnyûatlétika	hy:6
könnyûbenzin	hy:6
könnyûbeton	hy:6
könnyûborona	hy:6
könnyûcirkáló	hy:6
könnyûfém	hy:6
könnyûhidrogén	hy:6
könnyûipar	hy:6
könnyûlovasság	hy:6
könnyûszerkezet	hy:6
könnyûsúly	hy:6
könnyûvizek	hy:6
könnyûvíz	hy:6
könnyûzene	hy:6
könyvesbolt	hy:7
könyvesház	hy:7
könyvesházak	hy:7
könyvespolc	hy:7
könyvjelzõ	hy:5
könyvkölcsönzés	hy:5
könyvtár	hy:5
könyvtárak	hy:5
könyökcsõ	hy:6
könyökcsövek	hy:6
köpõcsésze	hy:4
köpönyegforgatás	hy:8
körcikk	hy:3
körfolyosó	hy:3
körfolyás	hy:3
körfordulat	hy:3
körforgalmak	hy:3
körforgalom	hy:3
körforgás	hy:3
körfûrész	hy:3
körgallér	hy:3
körhinta	hy:3
körjegyzõség	hy:3
körjárat	hy:3
körkép	hy:3
körlevelek	hy:3
körlevél	hy:3
körmagyar	hy:3
körmenet	hy:3
körmondat	hy:3
körmozgás	hy:3
körméret	hy:3
környezettan	hy:9
környezetvédelem	hy:9
környezetvédelmek	hy:9
körpálya	hy:3
körtebokor	hy:5
körtebokrok	hy:5
körtefa	hy:5
körterek	hy:3
körtánc	hy:3
körtér	hy:3
körutak	hy:3
körutazás	hy:3
körvonal	hy:3
körvonalak	hy:3
körív	hy:3
körömkefe	hy:5
körömlakk	hy:5
körömszálka	hy:5
körös-körül	ph:köröskörül
körút	hy:3
körülfogás	hy:5
körülhajózás	hy:5
körülmetélés	hy:5
körültekerés	hy:5
körültekintés	hy:5
körülvevõ	hy:5
körülvágás	hy:5
körülvágó	hy:5
körülzárás	hy:5
körülírás	hy:5
köszörûkõ	hy:7
köszörûkövek	hy:7
kötbér	hy:3
kötelességmulasztás	hy:10
kötelezettségvállalás	hy:13
kötlevelek	hy:3
kötlevél	hy:3
kötszer	hy:3
kötélbontó	hy:5
kötélgyûrû	hy:5
kötélhágcsó	hy:5
kötéltárcsa	hy:5
kötélugrás	hy:5
kötélverõ	hy:5
kötõfék	hy:4
kötõhártya	hy:4
kötõjel	hy:4
kötõlap	hy:4
kötõszavak	hy:4
kötõszó	hy:4
kötõszövet	hy:4
kötõtégla	hy:4
kötõvas	hy:4
kötõvasak	hy:4
kötõvonal	hy:4
kötõvonalak	hy:4
kövesutak	hy:5
kövesút	hy:5
követelnivaló	hy:9
követelõzés	hy:5
kövezetkocka	hy:7
kövirigó	hy:4
közalkalmazott	hy:3
közbeesõ	hy:5
közbeiktatás	hy:5
közbejövetel	hy:5
közbelépés	hy:5
közbenjárás	hy:6
közbevetés	hy:5
közbevágás	hy:5
közbeékelés	hy:5
közbocsánat	hy:3
közelharc	hy:5
közelhatás	hy:5
közelkép	hy:5
közellakó	hy:5
közellátás	hy:5
közellátó	hy:5
közelnézet	hy:5
közelálló	hy:5
közfal	hy:3
közfalak	hy:3
közgazdász	hy:3
közhasználat	hy:3
közhatalmak	hy:3
közhatalom	hy:3
közhely	hy:3
közhír	hy:3
közigazgatás	hy:3
közjegyzõ	hy:3
közjog	hy:3
közjáték	hy:3
közkegyelem	hy:3
közkegyelmek	hy:3
közkívánat	hy:3
közlegelõ	hy:3
közlekedésrendészet	hy:10
közmondás	hy:3
közmû	hy:3
közmûvek	hy:3
köznemes	hy:3
köznép	hy:3
központ	hy:3
központozás	hy:3
közremûködés	hy:5
közszellem	hy:köz|szel-lem
község	hy:köz-ség
községesítés	hy:köz-sé-ge-sí-tés
községháza	hy:köz-ség|há-za
közterek	hy:3
köztiagy	hy:5
köztitermék	hy:5
köztársaság	hy:3
köztér	hy:3
közutak	hy:3
közvilágítás	hy:3
közvélemény	hy:3
közzétevés	hy:5
közzétevõ	hy:5
közzététel	hy:5
középagy	hy:5
középagyak	hy:5
középfok	hy:5
középfül	hy:5
középhegység	hy:5
középiskola	hy:5
középkor	hy:5
középmoréna	hy:5
középpont	hy:5
középsúly	hy:5
középutak	hy:5
középvonal	hy:5
középvonalak	hy:5
középár	hy:5
középárak	hy:5
középérték	hy:5
középút	hy:5
közút	hy:3
kúrszalon	hy:3
kúrtaksa	hy:3
kúszónövény	hy:5
kútforrás	hy:3
kútfõ	hy:3
kútásó	hy:3
kûrruha	hy:3
külalak	hy:3
külcsín	hy:3
külfejtés	hy:3
külföld	hy:3
külgazdaság	hy:3
külhon	hy:3
külkapcsolat	hy:3
külkereskedelem	hy:3
külkereskedelmek	hy:3
külkereskedõ	hy:3
külmisszió	hy:3
külpolitika	hy:3
külszín	hy:3
külsérelem	hy:3
külsérelmek	hy:3
kültakaró	hy:3
kültelek	hy:3
kültelkek	hy:3
külterek	hy:3
külterület	hy:3
kültér	hy:3
külvilág	hy:3
külváros	hy:3
különadag	hy:5
különbizottság	hy:5
különbségtevés	hy:9
különbéke	hy:5
különbíróság	hy:5
különdíj	hy:5
különdíjak	hy:5
különgép	hy:5
különhajó	hy:5
különjárat	hy:5
különkiadás	hy:5
különlenyomat	hy:5
különlét	hy:5
különmegállapodás	hy:5
különmunka	hy:5
különnyomat	hy:kü-lön|nyo-mat
különszakasz	hy:5
különterem	hy:5
különtermek	hy:5
különvagyon	hy:5
különvonat	hy:5
különvélemény	hy:5
különágy	hy:5
különágyak	hy:5
különélés	hy:5
különóra	hy:5
külügy	hy:3
kürtszavak	hy:4
kürtszó	hy:4
kürtõskalács	hy:6
küszöbfa	hy:6
küszöbgerenda	hy:6
küzdõterek	hy:5
küzdõtér	hy:5
labancság	hy:la-banc-ság
labdajáték	hy:5
labdarózsa	hy:5
labdarúgás	hy:5
labdarúgó	hy:5
labdaütés	hy:5
lady	ph:lédi
lakatosmunka	hy:7
lakberendezés	hy:3
lakberendezõ	hy:3
lakbér	hy:3
lakkmunka	hy:4
lakkmézga	hy:4
lakosztály	hy:3
lakotthely	hy:6
lakáskulcs	hy:5
lakóhajó	hy:4
lakóhely	hy:4
lakóhelyiség	hy:4
lakóház	hy:4
lakóházak	hy:4
lakókocsi	hy:4
lakószoba	hy:4
lakótelep	hy:4
langrange-i	ph:lagranzsi
lapbetiltó	hy:3
lapkivágat	hy:3
laplace-i	ph:laplaszi
lapockacsont	hy:7
laposfogó	hy:5
laposféreg	hy:5
laposférgek	hy:5
laposférgek	hy:5
laposreszelõ	hy:5
laposszög	hy:la-pos|szög
lapostetû	hy:5
lapostányér	hy:5
laposvas	hy:5
laposvasak	hy:5
laposüveg	hy:5
lapszámozás	hy:3
lapszél	hy:3
lapzárta	hy:3
larousse-i	ph:larusszi
lasztexnadrág	hy:7
latindolgozat	hy:5
latinkönyv	hy:5
latintanár	hy:5
latintanítás	hy:5
latinóra	hy:5
lavoisier-i	ph:lavoaizéi
lazúrfesték	hy:5
lecsapószer	hy:7
legitimál	ph:legitimizál
legszívhezszólóbb		hy:z|sz
legszívhezszólóbban	hy:z|sz
legszívhezszólóbbik		hy:z|sz
legyezõfû	hy:7
legyezõfüvek	hy:7
legyezõpálma	hy:7
lejtmérés	hy:4
lejátszófej	hy:8
lekvárosüveg	hy:8
lelencház	hy:6
lelencházak	hy:6
lelkierõ	hy:5
lelkifröccs	hy:5
lelkifurdalás	hy:5
lelkigyakorlat	hy:5
lelkiismeret	hy:5
lelkipásztor	hy:5
lelkiállapot	hy:5
lelkésznõ	hy:7
leltár	hy:3
leltárak	hy:3
lelõhely	hy:4
lemezborítás	hy:5
lemezjátszó	hy:5
lemeztartó	hy:5
lemezvas	hy:5
lemezvasak	hy:5
lendítõkerekek	hy:7
lendítõkerék	hy:7
lengõnyújtó	hy:5
lenmag	hy:3
lenolaj	hy:3
lenolajak	hy:3
lenáztatás	hy:3
lepelfelhõ	hy:5
lepelhomok	hy:5
lepkebáb	hy:5
lepkeháló	hy:5
lepkesúly	hy:5
lepényhal	hy:6
lepényhalak	hy:6
lerakóhely	hy:6
leshely	hy:3
lesifotós	hy:4
lesállás	hy:3
lesülés	hy:2	les|ülés
leveleskönyv	hy:7
levelesláda	hy:7
levelezõlap	hy:8
levelibéka	hy:6
levendulaolaj	hy:9
levendulaolajak	hy:9
leveseskanalak	hy:7
leveseskanál	hy:7
levesestál	hy:7
levesestálak	hy:7
levesestányér	hy:7
levélalak	hy:5
levélboríték	hy:5
levéldarazsak	hy:5
levéldarázs	hy:5
levélerek	hy:5
levélgyûjtõ	hy:5
levélmérleg	hy:5
levélnehezék	hy:5
levélnyelek	hy:5
levélnyél	hy:5
levélpapír	hy:5
levélszedés	hy:5
levélszekrény	hy:5
levéltetû	hy:5
levéltovábbítás	hy:5
levéltár	hy:5
levéltárak	hy:5
levéltárnok	hy:5
levélér	hy:5
leállósáv	hy:6
leányiskola	hy:5
leánykérés	hy:5
leánykökörcsin	hy:5
libabõrözés	hy:4
libafalka	hy:4
libasült	hy:4
libatop	hy:4
libreoffice-os	ph:libreofiszos
libreville-i	ph:librövilli
licenc	ph:licensz
lidércfény	hy:6
lidércnyomás	hy:6
ligetszépe	hy:5
light	ph:lájt
lightos	ph:lájtos
likõröspoharak	hy:7
likõröspohár	hy:7
likõrösüveg	hy:7
lilásrózsa	hy:5
lime-	ph:lájm
lime-mal	ph:lájmmal
lime-má	ph:lájmmá
lime-os	ph:lájmos
lime	ph:lájm
linóleummetszet	hy:8
listaár	hy:5
listaárak	hy:5
liszteszsák	hy:lisz-tes|zsák
liszthintõ	hy:5
livingstone-i	ph:livingsztoni
lobbi	ph:lobby
loire-i	ph:loári
lokálpatriotizmus	hy:5
lombfakadás	hy:4
lombfûrész	hy:4
lombhullás	hy:4
lomtár	hy:3
lomtárak	hy:3
lopótök	hy:4
lordkancellár	hy:4
lovagkor	hy:5
lovaglóakadály	hy:7
lovaglócsizma	hy:7
lovaglóiskola	hy:7
lovaglóostor	hy:7
lovaglópálca	hy:7
lovaglóruha	hy:7
lovaglóösvény	hy:7
lucaszék	hy:4
ludaskása	hy:5
luxuskabin	hy:5
lymphocyta	ph:limfocita	hy:l.ym-pho-cy-ta
lyukbõség	hy:4
lyukfûrész	hy:4
lábbilincs	hy:3
lábdübörgés	hy:3
lábfagyás	hy:3
lábfej	hy:3
lábfájás	hy:3
lábfék	hy:3
lábikra	hy:3
lábjegyzet	hy:3
lábkanyarítás	hy:3
lábmosás	hy:3
lábnyom	hy:3
lábravaló	hy:5
lábszár	hy:3
lábszárak	hy:3
lábsó	hy:3
lábtartás	hy:3
lábtámasz	hy:3
lábtõ	hy:3
lábtörlõ	hy:3
lábtövek	hy:3
lábujj	hy:3
lábujjak	hy:3
ládakeret	hy:4
lágyacél	hy:4
lágybogarak	hy:4
lágybogár	hy:4
lágyfekély	hy:4
lágyforrasz	hy:4
lágyforrasztás	hy:4
lágylencse	hy:4
lágytojás	hy:4
lágyvas	hy:4
lágyvasak	hy:4
lágyítószer	hy:7
lámpaernyõ	hy:5
lámpafény	hy:5
lámpaláz	hy:5
lámpalázak	hy:5
lámpaoszlop	hy:5
lámpaégõ	hy:5
lánccsörgés	hy:lánc|csör-gés
láncfonalak	hy:4
láncfonál	hy:4
lánchegység	hy:4
lánchenger	hy:4
lánchidak	hy:4
lánchíd	hy:4
lánckövetkeztetés	hy:4
láncreakció	hy:4
lánctöltés	hy:4
lándzsahegy	hy:7
lándzsanyelek	hy:7
lándzsanyél	hy:7
lángelme	hy:4
lángész	hy:4
lápibaglyok	hy:4
lápibagoly	hy:4
látcsõ	hy:3
látcsövek	hy:3
láthatár	hy:3
látkép	hy:3
látnivaló	hy:5
látáskárosult	hy:5
látásvizsgálat	hy:5
látóhatár	hy:4
látókör	hy:4
látószerv	hy:4
látószög	hy:4
látótávolság	hy:4
lávakõ	hy:4
lávakövek	hy:4
lázcsillapító	hy:3
lázkiütés	hy:3
lázroham	hy:3
lécvágó	hy:3
légakna	hy:3
légbuborék	hy:3
légcsatorna	hy:3
légcsavar	hy:3
légcsõ	hy:3
légcsövek	hy:3
légelhárító	hy:3
légellenállás	hy:3
légfrissítõ	hy:3
légfék	hy:3
légfúvás	hy:3
léggömb	hy:3
léghajó	hy:3
léghajós	hy:3
léghuzat	hy:3
légibiztosító	hy:4
légibázis	hy:4
légicsapás	hy:4
légideszant	hy:4
légierõ	hy:4
légihidak	hy:4
légihíd	hy:4
légimentõ	hy:4
légiposta	hy:4
légiriadó	hy:4
légiterek	hy:4
légitársaság	hy:4
légitér	hy:4
légiutas	hy:4
légiveszély	hy:4
légiósbetegség	hy:6
légjavítás	hy:3
légkamra	hy:3
légkondicionálás	hy:3
légkör	hy:3
léglökés	hy:3
légmérõ	hy:3
légnyomás	hy:3
légpuska	hy:3
légpárna	hy:3
légsebesség	hy:3
légszivattyú	hy:3
légsúrlódás	hy:3
légsûrítõ	hy:3
légterek	hy:3
légtornász	hy:3
légtér	hy:3
légutak	hy:3
légvonal	hy:3
légvonalak	hy:3
légvonat	hy:3
légvár	hy:3
légvárak	hy:3
légy szíves	ph:légyszi	ph:lécci
légycsapó	hy:4
légyfajta	hy:4
légyfogó	hy:4
légzsák	hy:3
légzésmérõ	hy:6
légzõgyökerek	hy:5
légzõgyökér	hy:5
légzõszerv	hy:5
légút	hy:3
légûr	hy:3
léhûtõ	hy:2
lélegzet-visszafojtva	ph:lélegzetvisszafojtva
lélegzetvétel	hy:8
lélekelemzés	hy:5
lélekharang	hy:5
lélekszám	hy:5
lélektan	hy:5
lélekvándorlás	hy:5
lélekölõ	hy:5
lényegülés	hy:6
lépcsõdeszka	hy:6
lépcsõfok	hy:6
lépcsõház	hy:6
lépcsõházak	hy:6
lépcsõkar	hy:6
lépcsõorsó	hy:6
lépcsõsor	hy:6
lépfene	hy:3
lépgyulladás	hy:3
lépéshossz	hy:5
lételmélet	hy:3
létfenntartás	hy:3
létrafok	hy:5
létszám	hy:3
lézer	ph:laser
lízing	ph:leasing
lóbab	hy:2
lóbõr	hy:2
lódarazsak	hy:2
lódarázs	hy:2
lóerõ	hy:2
lófej	hy:2
lófog	hy:2
lófogak	hy:2
lófõ	hy:2
lóhere	hy:2
lóhát	hy:2
lóhátak	hy:2
lóhús	hy:2
lóidomítás	hy:2
lóistálló	hy:2
lóláb	hy:2
lólábak	hy:2
lópatkoló	hy:2
lópatkó	hy:2
lópikula	hy:2
lótartás	hy:2
lótej	hy:2
lótenyésztés	hy:2
lóvakaró	hy:2
lóvasutak	hy:ló||vas|út
lóvasút	hy:ló||vas|út
lóverseny	hy:2
lóversenyzés	hy:2
lõelem	hy:2
lõfegyver	hy:2
lõgyakorlat	hy:2
lõgyapot	hy:2
lõiskola	hy:2
lõlap	hy:2
lõmester	hy:2
lõpor	hy:2
lõrés	hy:2
lõszer	hy:2
lõterek	hy:2
lõtábla	hy:2
lõtávolság	hy:2
lõtér	hy:2
lõvonal	hy:2
lõvonalak	hy:2
löncs	ph:lunch
lövegzár	hy:5
lövegzárak	hy:5
lövészgödrök	hy:6
lövészgödör	hy:6
lövészárkok	hy:6
lövészárok	hy:6
lúdfû	hy:3
lúdfüvek	hy:3
lúdtalp	hy:3
lúdtalpak	hy:3
lúdtoll	hy:3
lúdtollak	hy:3
lúgkõ	hy:3
lúgkövek	hy:3
lúzer	ph:loser
lüktetésmérõ	hy:8
machete	ph:macsete
mackóalsó	hy:5
mackófelsõ	hy:5
mackóruha	hy:5
macskagyökerek	hy:6
macskagyökér	hy:6
macskakõ	hy:6
macskakövek	hy:6
madame-	ph:madam
madame-mal	ph:madammal
madame-má	ph:madammá
madame	ph:madam
mademoiselle-	ph:madmazel
mademoiselle-lel	ph:madmazellel
mademoiselle-lé	ph:madmazellé
mademoiselle	ph:madmazel
madárvárta	hy:5
maestro	ph:májsztró
magakelletés	hy:4
magasfeszültség	hy:5
magashegység	hy:5
magaskultúra	hy:5
magasságmérõ	hy:8
magasságvonal	hy:8
magasságvonalak	hy:8
magasugrás	hy:5
magasugró	hy:5
magasvasutak	hy:magas||vas|út
magasvasút	hy:magas||vas|út
magatartás	hy:4
magaviselet	hy:4
magazin	hy:2
magbuga	hy:3
magburkok	hy:3
