œuvre-	ph:ővr	ph:oeuvre
œuvre-rel	ph:ővrrel	ph:oeuvrerel
œuvre-ré	ph:ővrré	ph:oeuvreré
œuvre	ph:ővr	ph:oeuvre
-házhozszállítás	hy:|ház-hoz|szál-lí-tás
kilobyte-tal	ph:kilobájttal
kilobyte-tá	ph:kilobájttá
kilobyte	ph:kilobájt
kilociklus	hy:4
kilogramm	hy:4
kilogramm	ph:kilógram
kilohertz	hy:4
kilokalória	hy:4
kilométer	hy:4
kilotonna	hy:4
kilovolt	hy:4
kilowatt	hy:4
kilósruha	hy:5
kincsesház	hy:7
kincsesházak	hy:7
kincsesláda	hy:7
kincsestár	hy:7
kincsestárak	hy:7
kincstár	hy:5
kincstárak	hy:5
kinnlakás	hy:4
kinnlakó	hy:4
kintlét	hy:4
kirakatrendező	hy:7
kirakodóhely	hy:8
királygyilkosság	hy:6
királynő	hy:6
kisagy	hy:3
kisagyak	hy:3
kisajak	hy:3
kisajkak	hy:3
kisalföldi	hy:2
kisantant	hy:3
kisasszony	hy:3
kisautó	hy:3
kisbaba	hy:3
kisbefektető	hy:3
kisbetű	hy:3
kisbirtokosság	hy:3
kisbojtár	hy:3
kisbolygó	hy:3
kisbérlő	hy:3
kisbíró	hy:3
kisbútor	hy:3
kiscica	hy:3
kiscsoport	hy:3
kiscímer	hy:3
kisdob	hy:3
kisdoktor	hy:3
kisdolgok	hy:3
kisdolog	hy:3
kisdöntő	hy:3
kisegerek	hy:3
kisegyüttes	hy:3
kisegér	hy:3
kiselefánt	hy:3
kiselőadás	hy:3
kisemlős	hy:3
kisenciklopédia	hy:3
kisepika	hy:3
kiserőd	hy:3
kisestélyi	hy:3
kisfazekak	hy:3
kisfazék	hy:3
kisfeszültség	hy:3
kisfilm	hy:3
kisfiú	hy:3
kisfogyasztó	hy:3
kisforma	hy:3
kisfrekvencia	hy:3
kisfröccs	hy:3
kisfőnök	hy:3
kisföldalatti	hy:3
kisgazdaság	hy:3
kisgyerek	hy:3
kisgyermek	hy:3
kisgyermekkor	hy:3
kisgép	hy:3
kishal	hy:3
kishalak	hy:3
kishivatalnok	hy:3
kishold	hy:3
kisholdak	hy:3
kishúg	hy:3
kisinas	hy:3
kisipar	hy:3
kisiparoscsalád	hy:9
kisiparosság	hy:3
kisjátékfilm	hy:kis||játék|film
kiskacsa	hy:3
kiskakas	hy:3
kiskamasz	hy:3
kiskanalak	hy:3
kiskanál	hy:3
kiskapitalista	hy:3
kiskapitális	hy:3
kiskapu	hy:3
kiskarácsony	hy:3
kiskassza	hy:3
kiskatekizmus	hy:3
kiskereskedelem	hy:3
kiskereskedelmek	hy:3
kiskereskedés	hy:3
kiskert	hy:3
kiskosztüm	hy:3
kiskun	hy:3
kiskupola	hy:3
kiskutacs	hy:3
kiskutya	hy:3
kiskutyus	hy:3
kiskés	hy:3
kiskölykök	hy:3
kiskölyök	hy:3
kiskörutak	hy:kis||kör|út
kiskörút	hy:kis||kör|út
kisközség	hy:kis|köz-ség
kisközösség	hy:3
kislabda	hy:3
kislakás	hy:3
kislemez	hy:3
kislexikon	hy:3
kisleány	hy:3
kisliba	hy:3
kislámpa	hy:3
kislány	hy:3
kismacska	hy:3
kismadarak	hy:3
kismadár	hy:3
kismalac	hy:3
kismedence	hy:3
kismegszakító	hy:3
kismester	hy:3
kismesterség	hy:3
kismonográfia	hy:3
kismosás	hy:3
kismutató	hy:3
kisnovella	hy:3
kisnyulak	hy:3
kisnyúl	hy:3
kispad	hy:3
kispapa	hy:3
kisparasztság	hy:3
kispiac	hy:3
kisplasztika	hy:3
kispoharak	hy:3
kispohár	hy:3
kispolgárság	hy:3
kispróza	hy:3
kispálya	hy:3
kispörkölt	hy:3
kisregény	hy:3
kisrádió	hy:3
kisszerű	hy:kis|szerű
kisszoba	hy:kis|szo-ba
kisszámítógép	hy:kis||szá-mí-tó|gép
kisszámú	hy:kis|szá-mú
kisszék	hy:kis|szék
kisszínpad	hy:kis||szín|pad
kisszótár	hy:kis||szó|tár
kisszótárak	hy:kis||szó|tár
kisszövetkezet	hy:kis|szö-vet-ke-zet
kisterem	hy:3
kistermek	hy:3
kistermelés	hy:3
kistermelő	hy:3
kisterpesz	hy:3
kisturbina	hy:3
kistérség	hy:3
kisujj	hy:3
kisujjak	hy:3
kisvad	hy:3
kisvadak	hy:3
kisvasutak	hy:kis||vas|út
kisvasárnap	hy:3
kisvasút	hy:kis||vas|út
kisvizek	hy:3
kisvállalat	hy:3
kisvíz	hy:3
kiszolgálóoldal	hy:ki|szolgáló||oldal
kiszolgálóoldalak	hy:ki|szolgáló||oldal
kiságy	hy:3
kiságyak	hy:3
kisállam	hy:3
kisállat	hy:3
kisértekezés	hy:3
kisőrlő	hy:3
kisőrlőfog	hy:8
kisőrlőfogak	hy:8
kisördög	hy:3
kisüst	hy:3
kisüzem	hy:3
kiutak	hy:2
kivi	ph:kiwi
kiút	hy:2
klassz	ph:klafa	ph:kafa	ph:klafá->klassza	ph:kafá->klassza
kliensoldal	hy:6
kliensoldalak	hy:6
kloridion	hy:6
klottnadrág	hy:5
klub	ph:club
klubhelyiség	hy:4
klubház	hy:4
klubházak	hy:4
klón	ph:clone
klórossav	hy:6
klórossavak	hy:6
know-how-	ph:nó-hau
know-how-val	ph:nó-hauval
know-how-vá	ph:nó-hauvá
know-how	ph:nó-hau
koalamackó	hy:5
kockajáték	hy:5
kockakő	hy:5
kockakövek	hy:5
kockavetés	hy:5
kocsifelhajtó	hy:5
kocsikenőcs	hy:5
kocsikerekek	hy:5
kocsikerék	hy:5
kocsiláda	hy:5
kocsirudak	hy:5
kocsirúd	hy:5
kocsiszín	hy:5
kocsiutak	hy:5
kocsiút	hy:5
koffice-os	ph:káofiszos
kokszkályha	hy:5
koktél	ph:cocktail
kolbásztöltelék	hy:7
koldustarisznya	hy:6
kolléganő	hy:7
koloniálbútor	hy:8
komiszkenyerek	hy:6
komiszkenyér	hy:6
kommunistaüldözés	hy:10
komolyzene	hy:6
komphajó	hy:4
kompkikötő	hy:4
komplexbrigád	hy:7
komplexkémia	hy:7
komposztálóanyag	hy:11
komámasszony	hy:5
kondorkeselyű	hy:6
konfliktusközel	hy:10
kontrabasszus	hy:6
kontrasztkiemelés	hy:9
kontymagasító	hy:5
kontytető	hy:5
kontyvirág	hy:5
kontármunka	hy:6
konyak	ph:cognac
konyakospoharak	hy:8
konyakospohár	hy:8
konyakosüveg	hy:8
konyhaedény	hy:6
konyhakert	hy:6
konyhakredenc	hy:6
konyharuha	hy:6
konyhasó	hy:6
konzervdoboz	hy:7
konzervgyár	hy:7
konzervgyárak	hy:7
konzervkészítés	hy:7
konzervnyitó	hy:7
konzumidióta	hy:6
konzumnő	hy:6
konzumtársadalom	hy:6
koponyacsont	hy:7
koponyadudor	hy:7
koponyalékelés	hy:7
koponyalékelő	hy:7
koponyatető	hy:7
kopásgödrök	hy:5
kopásgödör	hy:5
korallsziget	hy:6
korallzátony	hy:6
koraszülés	hy:4
koraszülött	hy:4
koraérés	hy:4
korbácsütés	hy:7
kordbársony	hy:4
kormeghatározás	hy:3
kormányfő	hy:7
kormánykerekek	hy:7
kormánykerék	hy:7
kormányközel	hy:7
kormánymű	hy:7
kormányművek	hy:7
kormánypálca	hy:7
kormányrudak	hy:7
kormányrúd	hy:7
kormányszerkezet	hy:7
kormánytanács	hy:7
kormányvitorla	hy:7
koromfolt	hy:5
koromszem	hy:5
koronagyarmat	hy:6
korpafű	hy:5
korpafüvek	hy:5
korrektor	hy:3
korreláció	hy:3
korszak	hy:3
kortárs	hy:
korév	hy:3
kosbor	hy:3
koszorúerek	hy:7
koszorúsleány	hy:8
koszorúér	hy:7
kosztümfelső	hy:7
kosárfonat	hy:5
kosárfonás	hy:5
kosárfonó	hy:5
kosárka	hy:3
kosárlabda	hy:5
kosárív	hy:5
kotrógép	hy:5
kotróháló	hy:5
kotróvas	hy:5
kotróvasak	hy:5
kovakő	hy:4
kovakövek	hy:4
kovácsoltvas	hy:9
kovácsoltvasak	hy:9
kozákdárda	hy:5
kozákkapitány	hy:5
kozáklovak	hy:5
kozákló	hy:5
kozáktiszt	hy:5
krakkolókatalizátor	hy:8
kristálydióda	hy:8
kristályszóda	hy:8
krosszverseny	hy:6
krumpliskenyerek	hy:8
krumpliskenyér	hy:8
krétavonal	hy:5
krétavonalak	hy:5
kubikgödrök	hy:5
kubikgödör	hy:5
kucsmagomba	hy:6
kukoricacső	hy:8
kukoricacsövek	hy:8
kukoricafosztás	hy:8
kukoricahaj	hy:8
kukoricahajak	hy:8
kukoricahéj	hy:8
kukoricahéjak	hy:8
kukoricakeményítő	hy:8
kukoricalevelek	hy:8
kukoricalevél	hy:8
kukoricaliszt	hy:8
kukoricamálé	hy:8
kukoricapehely	hy:8
kukoricapelyhek	hy:8
kukoricatorzsa	hy:8
kukoricatábla	hy:8
kukásautó	hy:5
kulcscsont	hy:5
kulcskarika	hy:5
kulcslyuk	hy:5
kulcslyukak	hy:5
kulcsosház	hy:7
kulcsosházak	hy:7
kulcstábla	hy:5
kultúrautó	hy:7
kumuluszfelhő	hy:8
kupadöntő	hy:4
kupamérkőzés	hy:4
kupaszerda	hy:4
kurtanemes	hy:5
kurtavas	hy:5
kurtavasak	hy:5
kurucság	hy:ku-ruc-ság
kurvaház	hy:5
kurvaházak	hy:5
kutatnivaló	hy:7
kutatás-fejlesztési	ph:kutatásfejlesztési
kutatómunka	hy:6
kutatónő	hy:6
kutatóterem	hy:6
kutatótermek	hy:6
kutatótornyok	hy:6
kutatótorony	hy:6
kutyabőr	hy:5
kutyafaj	hy:5
kutyafalka	hy:5
kutyanyelv	hy:5
kutyapecér	hy:5
kutyaszorító	hy:5
kutyaszán	hy:5
kutyatej	hy:5
kutyaól	hy:5
kutyaólak	hy:5
kvarckavics	hy:5
kvarclámpa	hy:5
kvintesszencia	hy:5
kábelakna	hy:5
kábellerakás	hy:5
kábszer	hy:3
kábítószer	hy:6
kádármunka	hy:5
kákabelek	hy:4
kákabél	hy:4
kálilúg	hy:4
káliszappan	hy:4
káliüveg	hy:4
kályhaellenző	hy:6
kályhaszelelő	hy:6
kályhásmester	hy:7
kányabangita	hy:5
kányafa	hy:5
kányafű	hy:5
kányafüvek	hy:5
káposztasaláta	hy:8
káposztáshordó	hy:9
káposztáskert	hy:9
káreloszlás	hy:3
kárminsav	hy:6
kárminsavak	hy:6
kárpitosmunka	hy:8
kárpitszövet	hy:6
kárpótlás	hy:3
kártológép	hy:7
kártyabarlang	hy:6
kártyacsomag	hy:6
kártyaemelés	hy:6
kártyajáték	hy:6
kártyakeverés	hy:6
kártyakiosztás	hy:6
kártyaleolvasó	hy:6
kártyaosztás	hy:6
kártyapénz	hy:6
kártyaszín	hy:6
kártyatalon	hy:6
kártyatrükk	hy:6
kártyavetés	hy:6
kártérítés	hy:3
kávéalj	hy:4
kávéaljak	hy:4
kávéfőző	hy:4
kávéház	hy:4
kávéházak	hy:4
kávésbögre	hy:5
kávéskanalak	hy:5
kávéskanna	hy:5
kávéskanál	hy:5
kávéskészlet	hy:5
kéjnő	hy:3
kéjérzet	hy:3
kékbegy	hy:3
kékcinege	hy:3
kékcinke	hy:3
kékesszürke	hy:ké-kes|szür-ke
kékesszürkés	hy:ké-kes|szür-kés
kékeszöld	hy:ké-kes|zöld
kékeszöldes	hy:ké-kes|zöl-des
kékfestés	hy:3
kékfestő	hy:3
kékharisnya	hy:3
kékliliom	hy:3
kékoportó	hy:3
kékparadicsom	hy:3
kékróka	hy:3
kéksajt	hy:3
kéksav	hy:3
kéksavak	hy:3
kékszakáll	hy:3
kékszakállak	hy:3
kékszám	hy:3
kéktúra	hy:3
kékvércse	hy:3
kémcső	hy:3
kémcsövek	hy:3
kémelhárítás	hy:kém||el|hárítás
kémlelő	hy:3
kémlelőeszköz	hy:7
kémlelőnyílás	hy:7
kémnő	hy:3
kéményseprő	hy:6
kéménysor	hy:6
kénessav	hy:5
kénessavak	hy:5
kénkő	hy:3
kénkövek	hy:3
kénsav	hy:3
kénsavak	hy:3
kényszer	hy:4
képernyő	hy:3
képeskönyv	hy:5
képességcsökkenés	hy:8
képfaragó	hy:3
képfelbontás	hy:3
képkiállítás	hy:3
képléc	hy:3
képmező	hy:3
képmutatás	hy:3
képmutató	hy:3
képmás	hy:3
képrejtvény	hy:3
képrombolás	hy:3
képszöveg	hy:3
képtár	hy:3
képtárak	hy:3
képtáviratozás	hy:3
képviselet	hy:3
képviselő	hy:3
képviselőjelölt	hy:9
képviselőnő	hy:9
képzelőtehetség	hy:7
képzőművészet	hy:5
képélesség	hy:3
képírás	hy:3
kérdeznivaló	hy:8
kérdőjel	hy:5
kérdőív	hy:5
kéreghántó	hy:5
kéregmozgás	hy:5
kérvénybenyújtás	hy:kérvény||be|nyújtás
kérődzőgyomor	hy:7
késművesség	hy:3
késtartó	hy:3
késtisztító	hy:3
készenlét	hy:6
készfizető	hy:4
készgyártmány	hy:4
készkiadás	hy:4
készpénz	hy:4
készruha	hy:4
készétel	hy:4
késél	hy:3
kétnejűség	hy:3
kétpennys	hy:két|pen-nys
kétszersült	hy:7
kétszázschillinges	hy:z|s
kétszínnyomás	hy:két|szín||nyo-más
kétszínnyomó	hy:két|szín||nyo-mó
kétségbeejtés	hy:8
kétéltű	hy:3
kévekötő	hy:4
kézbevétel	hy:5
kézbilincs	hy:3
kézbütykök	hy:3
kézbütyök	hy:3
kézelőgomb	hy:6
kézfej	hy:3
kézibalta	hy:4
kézibeszélő	hy:4
kézibélyegző	hy:4
kézibőrönd	hy:4
kézicsomag	hy:4
kéziemelő	hy:4
kézifecskendő	hy:4
kézifegyver	hy:4
kézifék	hy:4
kézifűrész	hy:4
kézigránát	hy:4
kézihajtány	hy:4
kéziipar	hy:4
kézikalapács	hy:4
kézikapa	hy:4
kézikar	hy:4
kézikocsi	hy:4
kézikosarak	hy:4
kézikosár	hy:4
kézikönyv	hy:4
kézilabda	hy:4
kézilány	hy:4
kézimunka	hy:4
kézimérleg	hy:4
kézinyomda	hy:4
kézipéldány	hy:4
kézirat	hy:3
kézisajtó	hy:4
kéziszivattyú	hy:4
kézitáska	hy:4
kézitükrök	hy:4
kézitükör	hy:4
kézizálog	hy:4
kézjegy	hy:3
kézközel	hy:3
kézközepek	hy:3
kézközép	hy:3
kézmozdulat	hy:3
kézműves	hy:3
kézművesség	hy:3
kézszorítás	hy:kéz|szo-rí-tás
kéztámasz	hy:3
kézíj	hy:3
kézíjak	hy:3
kézírás	hy:3
kézöblítés	hy:3
kézöblítő	hy:3
kézügyesség	hy:3
kígyófű	hy:5
kígyófüvek	hy:5
kígyómarás	hy:5
kílbót	ph:keelboat	ph:kielboat
kínszenvedés	hy:3
kínvallatás	hy:3
kísértethistória	hy:8
kóboráram	hy:5
kócsagforgó	hy:6
kócsagtanya	hy:6
kócsagtoll	hy:6
kócsagtollak	hy:6
kókuszdió	hy:6
kókuszrost	hy:6
kóla	ph:cola
kóladió	hy:4
kólásüveg	hy:5
kórboncnok	hy:3
kórelőzés	hy:3
kórház	hy:3
kórházak	hy:3
kórmeghatározás	hy:3
kórokozó	hy:3
kórtan	hy:3
kórterem	hy:3
kórtermek	hy:3
kórusmű	hy:5
kórusművek	hy:5
kőbalta	hy:2
kőburkolat	hy:2
kőbánya	hy:2
kődarab	hy:2
kőedény	hy:2
kőerek	hy:2
kőeszköz	hy:2
kőfal	hy:2
kőfalak	hy:2
kőfaragó	hy:2
kőfej	hy:2
kőfejtő	hy:2
kőgát	hy:2
kőgátak	hy:2
kőhajítás	hy:2
kőhal	hy:2
kőhalak	hy:2
kőhalmok	hy:2
kőhalom	hy:2
kőhidak	hy:2
kőház	hy:2
kőházak	hy:2
kőhíd	hy:2
kőkapcsok	hy:2
kőkapocs	hy:2
kőkapu	hy:2
kőkereszt	hy:2
kőkeret	hy:2
kőkerítés	hy:2
kőkocka	hy:2
kőkor	hy:2
kőkutak	hy:2
kőképződés	hy:2
kőkés	hy:2
kőkör	hy:2
kőkút	hy:2
kőlap	hy:2
kőmetszés	hy:2
kőműves	hy:2
kőnyomat	hy:2
kőolaj	hy:2
kőolajak	hy:2
kőpad	hy:2
kőpor	hy:2
kőrisbogarak	hy:5
kőrisbogár	hy:5
kőrisfa	hy:5
kőszenek	hy:2
kőszikla	hy:2
kőszirt	hy:2
kőszobor	hy:2
kőszobrok	hy:2
kőszén	hy:2
kősó	hy:2
kőtemplom	hy:2
kőtábla	hy:2
kőtár	hy:2
kőtárak	hy:2
kőtömb	hy:2
kőtörmelék	hy:2
kőutak	hy:2
kővár	hy:2
kővárak	hy:2
kőzetrés	hy:5
kőzetréteg	hy:5
kőzettan	hy:5
kőzápor	hy:2
kőépület	hy:2
kőér	hy:2
kőút	hy:2
köblök	hy:3
köbméter	hy:3
köbtartalmak	hy:3
köbtartalom	hy:3
köböl	hy:3
ködalak	hy:3
ködfolt	hy:3
kökénybokor	hy:6
kökénybokrok	hy:6
kölcsönadás	hy:7
kölnisüveg	hy:6
kölnivizek	hy:5
kölnivíz	hy:5
költség-haszon	ph:költséghasz->költség-hasz
költségvetés	hy:7
költségviselés	hy:7
költőnő	hy:5
kölyökkutya	hy:6
köménymag	hy:6
könnycsepp	hy:5
könnyfakasztó	hy:5
könnygáz	hy:5
könnyvezeték	hy:5
könnyzacskó	hy:5
könnyár	hy:5
könnyárak	hy:5
könnyűatlétika	hy:6
könnyűbenzin	hy:6
könnyűbeton	hy:6
könnyűborona	hy:6
könnyűcirkáló	hy:6
könnyűfém	hy:6
könnyűhidrogén	hy:6
könnyűipar	hy:6
könnyűlovasság	hy:6
könnyűszerkezet	hy:6
könnyűsúly	hy:6
könnyűvizek	hy:6
könnyűvíz	hy:6
könnyűzene	hy:6
könyvesbolt	hy:7
könyvesház	hy:7
könyvesházak	hy:7
könyvespolc	hy:7
könyvjelző	hy:5
könyvkölcsönzés	hy:5
könyvtár	hy:5
könyvtárak	hy:5
könyökcső	hy:6
könyökcsövek	hy:6
köpőcsésze	hy:4
köpönyegforgatás	hy:8
körcikk	hy:3
körfolyosó	hy:3
körfolyás	hy:3
körfordulat	hy:3
körforgalmak	hy:3
körforgalom	hy:3
körforgás	hy:3
körfűrész	hy:3
körgallér	hy:3
körhinta	hy:3
körjegyzőség	hy:3
körjárat	hy:3
körkép	hy:3
körlevelek	hy:3
körlevél	hy:3
körmagyar	hy:3
körmenet	hy:3
körmondat	hy:3
körmozgás	hy:3
körméret	hy:3
környezettan	hy:9
környezetvédelem	hy:9
környezetvédelmek	hy:9
körpálya	hy:3
körtebokor	hy:5
körtebokrok	hy:5
körtefa	hy:5
körterek	hy:3
körtánc	hy:3
körtér	hy:3
körutak	hy:3
körutazás	hy:3
körvonal	hy:3
körvonalak	hy:3
körív	hy:3
körömkefe	hy:5
körömlakk	hy:5
körömszálka	hy:5
körös-körül	ph:köröskörül
körút	hy:3
körülfogás	hy:5
körülhajózás	hy:5
körülmetélés	hy:5
körültekerés	hy:5
körültekintés	hy:5
körülvevő	hy:5
körülvágás	hy:5
körülvágó	hy:5
körülzárás	hy:5
körülírás	hy:5
köszörűkő	hy:7
köszörűkövek	hy:7
kötbér	hy:3
kötelességmulasztás	hy:10
kötelezettségvállalás	hy:13
kötlevelek	hy:3
kötlevél	hy:3
kötszer	hy:3
kötélbontó	hy:5
kötélgyűrű	hy:5
kötélhágcsó	hy:5
kötéltárcsa	hy:5
kötélugrás	hy:5
kötélverő	hy:5
kötőfék	hy:4
kötőhártya	hy:4
kötőjel	hy:4
kötőlap	hy:4
kötőszavak	hy:4
kötőszó	hy:4
kötőszövet	hy:4
kötőtégla	hy:4
kötővas	hy:4
kötővasak	hy:4
kötővonal	hy:4
kötővonalak	hy:4
kövesutak	hy:5
kövesút	hy:5
követelnivaló	hy:9
követelőzés	hy:5
kövezetkocka	hy:7
kövirigó	hy:4
közalkalmazott	hy:3
közbeeső	hy:5
közbeiktatás	hy:5
közbejövetel	hy:5
közbelépés	hy:5
közbenjárás	hy:6
közbevetés	hy:5
közbevágás	hy:5
közbeékelés	hy:5
közbocsánat	hy:3
közelharc	hy:5
közelhatás	hy:5
közelkép	hy:5
közellakó	hy:5
közellátás	hy:5
közellátó	hy:5
közelnézet	hy:5
közelálló	hy:5
közfal	hy:3
közfalak	hy:3
közgazdász	hy:3
közhasználat	hy:3
közhatalmak	hy:3
közhatalom	hy:3
közhely	hy:3
közhír	hy:3
közigazgatás	hy:3
közjegyző	hy:3
közjog	hy:3
közjáték	hy:3
közkegyelem	hy:3
közkegyelmek	hy:3
közkívánat	hy:3
közlegelő	hy:3
közlekedésrendészet	hy:10
közmondás	hy:3
közmű	hy:3
közművek	hy:3
köznemes	hy:3
köznép	hy:3
központ	hy:3
központozás	hy:3
közreműködés	hy:5
közszellem	hy:köz|szel-lem
község	hy:köz-ség
községesítés	hy:köz-sé-ge-sí-tés
községháza	hy:köz-ség|há-za
közterek	hy:3
köztiagy	hy:5
köztitermék	hy:5
köztársaság	hy:3
köztér	hy:3
közutak	hy:3
közvilágítás	hy:3
közvélemény	hy:3
közzétevés	hy:5
közzétevő	hy:5
közzététel	hy:5
középagy	hy:5
középagyak	hy:5
középfok	hy:5
középfül	hy:5
középhegység	hy:5
középiskola	hy:5
középkor	hy:5
középmoréna	hy:5
középpont	hy:5
középsúly	hy:5
középutak	hy:5
középvonal	hy:5
középvonalak	hy:5
középár	hy:5
középárak	hy:5
középérték	hy:5
középút	hy:5
közút	hy:3
kúrszalon	hy:3
kúrtaksa	hy:3
kúszónövény	hy:5
kútforrás	hy:3
kútfő	hy:3
kútásó	hy:3
kűrruha	hy:3
külalak	hy:3
külcsín	hy:3
külfejtés	hy:3
külföld	hy:3
külgazdaság	hy:3
külhon	hy:3
külkapcsolat	hy:3
külkereskedelem	hy:3
külkereskedelmek	hy:3
külkereskedő	hy:3
külmisszió	hy:3
külpolitika	hy:3
külszín	hy:3
külsérelem	hy:3
külsérelmek	hy:3
kültakaró	hy:3
kültelek	hy:3
kültelkek	hy:3
külterek	hy:3
külterület	hy:3
kültér	hy:3
külvilág	hy:3
külváros	hy:3
különadag	hy:5
különbizottság	hy:5
különbségtevés	hy:9
különbéke	hy:5
különbíróság	hy:5
különdíj	hy:5
különdíjak	hy:5
különgép	hy:5
különhajó	hy:5
különjárat	hy:5
különkiadás	hy:5
különlenyomat	hy:5
különlét	hy:5
különmegállapodás	hy:5
különmunka	hy:5
különnyomat	hy:kü-lön|nyo-mat
különszakasz	hy:5
különterem	hy:5
különtermek	hy:5
különvagyon	hy:5
különvonat	hy:5
különvélemény	hy:5
különágy	hy:5
különágyak	hy:5
különélés	hy:5
különóra	hy:5
külügy	hy:3
kürtszavak	hy:4
kürtszó	hy:4
kürtőskalács	hy:6
küszöbfa	hy:6
küszöbgerenda	hy:6
küzdőterek	hy:5
küzdőtér	hy:5
labancság	hy:la-banc-ság
labdajáték	hy:5
labdarózsa	hy:5
labdarúgás	hy:5
labdarúgó	hy:5
labdaütés	hy:5
lady	ph:lédi
lakatosmunka	hy:7
lakberendezés	hy:3
lakberendező	hy:3
lakbér	hy:3
lakkmunka	hy:4
lakkmézga	hy:4
lakosztály	hy:3
lakotthely	hy:6
lakáskulcs	hy:5
lakóhajó	hy:4
lakóhely	hy:4
lakóhelyiség	hy:4
lakóház	hy:4
lakóházak	hy:4
lakókocsi	hy:4
lakószoba	hy:4
lakótelep	hy:4
langrange-i	ph:lagranzsi
lapbetiltó	hy:3
lapkivágat	hy:3
laplace-i	ph:laplaszi
lapockacsont	hy:7
laposfogó	hy:5
laposféreg	hy:5
laposférgek	hy:5
laposférgek	hy:5
laposreszelő	hy:5
laposszög	hy:la-pos|szög
lapostetű	hy:5
lapostányér	hy:5
laposvas	hy:5
laposvasak	hy:5
laposüveg	hy:5
lapszámozás	hy:3
lapszél	hy:3
lapzárta	hy:3
larousse-i	ph:larusszi
lasztexnadrág	hy:7
latindolgozat	hy:5
latinkönyv	hy:5
latintanár	hy:5
latintanítás	hy:5
latinóra	hy:5
lavoisier-i	ph:lavoaizéi
lazúrfesték	hy:5
lecsapószer	hy:7
legitimál	ph:legitimizál
legszívhezszólóbb		hy:z|sz
legszívhezszólóbban	hy:z|sz
legszívhezszólóbbik		hy:z|sz
legyezőfű	hy:7
legyezőfüvek	hy:7
legyezőpálma	hy:7
lejtmérés	hy:4
lejátszófej	hy:8
lekvárosüveg	hy:8
lelencház	hy:6
lelencházak	hy:6
lelkierő	hy:5
lelkifröccs	hy:5
lelkifurdalás	hy:5
lelkigyakorlat	hy:5
lelkiismeret	hy:5
lelkipásztor	hy:5
lelkiállapot	hy:5
lelkésznő	hy:7
leltár	hy:3
leltárak	hy:3
lelőhely	hy:4
lemezborítás	hy:5
lemezjátszó	hy:5
lemeztartó	hy:5
lemezvas	hy:5
lemezvasak	hy:5
lendítőkerekek	hy:7
lendítőkerék	hy:7
lengőnyújtó	hy:5
lenmag	hy:3
lenolaj	hy:3
lenolajak	hy:3
lenáztatás	hy:3
lepelfelhő	hy:5
lepelhomok	hy:5
lepkebáb	hy:5
lepkeháló	hy:5
lepkesúly	hy:5
lepényhal	hy:6
lepényhalak	hy:6
lerakóhely	hy:6
leshely	hy:3
lesifotós	hy:4
lesállás	hy:3
lesülés	hy:2	les|ülés
leveleskönyv	hy:7
levelesláda	hy:7
levelezőlap	hy:8
levelibéka	hy:6
levendulaolaj	hy:9
levendulaolajak	hy:9
leveseskanalak	hy:7
leveseskanál	hy:7
levesestál	hy:7
levesestálak	hy:7
levesestányér	hy:7
levélalak	hy:5
levélboríték	hy:5
levéldarazsak	hy:5
levéldarázs	hy:5
levélerek	hy:5
levélgyűjtő	hy:5
levélmérleg	hy:5
levélnehezék	hy:5
levélnyelek	hy:5
levélnyél	hy:5
levélpapír	hy:5
levélszedés	hy:5
levélszekrény	hy:5
levéltetű	hy:5
levéltovábbítás	hy:5
levéltár	hy:5
levéltárak	hy:5
levéltárnok	hy:5
levélér	hy:5
leállósáv	hy:6
leányiskola	hy:5
leánykérés	hy:5
leánykökörcsin	hy:5
libabőrözés	hy:4
libafalka	hy:4
libasült	hy:4
libatop	hy:4
libreoffice-os	ph:libreofiszos
libreville-i	ph:librövilli
licenc	ph:licensz
lidércfény	hy:6
lidércnyomás	hy:6
ligetszépe	hy:5
light	ph:lájt
lightos	ph:lájtos
likőröspoharak	hy:7
likőröspohár	hy:7
likőrösüveg	hy:7
lilásrózsa	hy:5
lime-	ph:lájm
lime-mal	ph:lájmmal
lime-má	ph:lájmmá
lime-os	ph:lájmos
lime	ph:lájm
linóleummetszet	hy:8
listaár	hy:5
listaárak	hy:5
liszteszsák	hy:lisz-tes|zsák
liszthintő	hy:5
livingstone-i	ph:livingsztoni
lobbi	ph:lobby
loire-i	ph:loári
lokálpatriotizmus	hy:5
lombfakadás	hy:4
lombfűrész	hy:4
lombhullás	hy:4
lomtár	hy:3
lomtárak	hy:3
lopótök	hy:4
lordkancellár	hy:4
lovagkor	hy:5
lovaglóakadály	hy:7
lovaglócsizma	hy:7
lovaglóiskola	hy:7
lovaglóostor	hy:7
lovaglópálca	hy:7
lovaglóruha	hy:7
lovaglóösvény	hy:7
lucaszék	hy:4
ludaskása	hy:5
luxuskabin	hy:5
lymphocyta	ph:limfocita	hy:l.ym-pho-cy-ta
lyukbőség	hy:4
lyukfűrész	hy:4
lábbilincs	hy:3
lábdübörgés	hy:3
lábfagyás	hy:3
lábfej	hy:3
lábfájás	hy:3
lábfék	hy:3
lábikra	hy:3
lábjegyzet	hy:3
lábkanyarítás	hy:3
lábmosás	hy:3
lábnyom	hy:3
lábravaló	hy:5
lábszár	hy:3
lábszárak	hy:3
lábsó	hy:3
lábtartás	hy:3
lábtámasz	hy:3
lábtő	hy:3
lábtörlő	hy:3
